'5.6_millimetres' | structural violation
mammal -> vertebrate -> sentient_animal -> animal -> animal_or_body_part | edge semantic failure
mammal -> vertebrate -> sentient_animal -> animal -> living_creature | edge semantic failure
mammal -> vertebrate -> sentient_animal -> animal -> organism | edge semantic failure
mammal -> vertebrate -> sentient_animal -> animal -> living_creature | edge semantic failure
'273_degrees_celsius' | structural violation
'4840_square_yards' | structural violation
'boy\'s_name_for_doll' | structural violation
'actor\'s_agent' -> business_agent -> agent | semantic abstraction jump
business_agent -> agent -> broker -> business_person | edge semantic failure
anatomical_structure | structural violation
fern -> pteridophyte -> vascular_plant | edge semantic failure
fern -> pteridophyte -> vascular_plant -> plant | edge semantic failure
disease -> illness -> ill_health -> pathological_state | edge semantic failure
'1600_pennsylvania_avenue' | structural violation
'17_inches_long' | structural violation
'alaska\'s_flag' | structural violation
alcohol -> fuel -> substance | semantic abstraction jump
alcohol -> fermented_beverage -> beverage | semantic abstraction jump
alcohol -> fermented_beverage -> beverage -> food_and_drink | semantic abstraction jump
alcohol -> fermented_beverage -> beverage -> food | semantic abstraction jump
alcohol -> fermented_beverage -> beverage -> liquid | semantic abstraction jump
alcohol -> fermented_beverage -> beverage -> liquid -> fluid | semantic abstraction jump
alcohol -> fermented_beverage -> beverage -> liquid -> substance | semantic abstraction jump
alcohol -> fermented_beverage -> beverage -> liquid -> fluid -> substance | semantic abstraction jump
alcohol -> fermented_beverage -> beverage -> food -> fuel | semantic abstraction jump
alcohol -> fermented_beverage -> beverage -> food -> substance | semantic abstraction jump
alcohol -> fermented_beverage -> beverage -> food -> fuel -> substance | semantic abstraction jump
alcohol -> fermented_beverage -> beverage -> food_and_drink -> food_drink_and_ingredient | semantic abstraction jump
alcohol -> drug_of_abuse -> drug | semantic abstraction jump
alcohol -> drug_of_abuse -> drug -> chemical | semantic abstraction jump
alcohol -> beverage -> food -> substance | semantic abstraction jump
alcohol -> beverage -> food -> fuel -> substance | semantic abstraction jump
'depressant_don\'t_drink' | structural violation
'king\'s_pawn_game' | structural violation
'made_egypt\'s_capital_in_320_bc' | structural violation
'australia\'s_first_great_statesman' | structural violation
tenor -> singing_voice -> voice -> singer -> musician -> guitarist -> musical_instrument_player | semantic abstraction jump
tenor -> singing_voice -> voice -> singer -> musician -> guitarist -> tenor_guitarist | semantic abstraction jump
tenor -> singer -> musician -> guitarist -> musical_instrument_player | semantic abstraction jump
tenor -> singer -> musician -> guitarist -> tenor_guitarist | semantic abstraction jump
tenor -> singer -> musician -> guitarist -> tenor_guitarist | semantic abstraction jump
tenor -> singer -> musician -> guitarist -> musical_instrument_player -> musical_performer | semantic abstraction jump
tenor -> singer -> musician -> guitarist -> musical_instrument_player -> musical_performer -> performing_artist | semantic abstraction jump
tenor -> singer -> musician -> guitarist -> acoustic_guitarist -> musical_instrument_player | semantic abstraction jump
tenor -> singer -> musician -> guitarist -> acoustic_guitarist -> musical_instrument_player -> musical_performer | semantic abstraction jump
tenor -> singer -> musical_performer -> musician -> guitarist -> musical_instrument_player | semantic abstraction jump
tenor -> singer -> musical_performer -> musician -> guitarist -> tenor_guitarist | semantic abstraction jump
tenor -> singer -> musical_performer -> musician -> guitarist -> tenor_guitarist | semantic abstraction jump
tenor -> singer -> musical_performer -> musician -> guitarist -> acoustic_guitarist -> musical_instrument_player | semantic abstraction jump
'smaller_than_adult\'s_head' | structural violation
'alzheimer\'s_disease' -> presenile_dementia -> dementia | semantic abstraction jump
'alzheimer\'s_disease' -> presenile_dementia -> dementia -> disease | semantic abstraction jump
'alzheimer\'s_disease' -> presenile_dementia -> dementia -> neurological_disease | semantic abstraction jump
'alzheimer\'s_disease' -> presenile_dementia -> dementia -> neurological_disease -> illness | edge semantic failure
'alzheimer\'s_disease' -> presenile_dementia -> dementia -> neurological_disease -> neurological_condition | semantic abstraction jump
'alzheimer\'s_disease' -> presenile_dementia -> dementia -> neurological_disease -> neurological_condition -> illness | semantic abstraction jump
'alzheimer\'s_disease' -> presenile_dementia -> dementia -> neurological_disease -> neurological_condition -> illness -> medical_condition | semantic abstraction jump
'alzheimer\'s_disease' -> presenile_dementia -> dementia -> neurological_disease -> illness -> medical_condition | edge semantic failure
'alzheimer\'s_disease' -> presenile_dementia -> dementia -> disease -> illness | semantic abstraction jump
'alzheimer\'s_disease' -> presenile_dementia -> dementia -> disease -> illness -> medical_condition | semantic abstraction jump
'alzheimer\'s_drug' -> medicine -> drug | semantic abstraction jump
andromeda_galaxy -> spiral_galaxy -> galaxy | semantic abstraction jump
andromeda_galaxy -> spiral_galaxy -> galaxy -> astronomical_object | semantic abstraction jump
andromeda_galaxy -> spiral_galaxy -> galaxy -> enormous_group_of_stars | semantic abstraction jump
andromeda_galaxy -> spiral_galaxy -> galaxy -> enormous_group_of_stars | semantic abstraction jump
'over_2.2_million_light_years_away' | structural violation
snail -> mollusk -> animal | edge semantic failure
snail -> mollusk -> animal -> living_creature | edge semantic failure
snail -> mollusk -> animal -> organism | edge semantic failure
snail -> mollusk -> animal -> living_creature | edge semantic failure
snail -> gastropod -> mollusk -> animal | edge semantic failure
snail -> gastropod -> mollusk -> animal -> living_creature | edge semantic failure
snail -> gastropod -> mollusk -> animal -> organism | edge semantic failure
snail -> gastropod -> mollusk -> animal -> living_creature | edge semantic failure
snail -> gastropod -> mollusc -> animal | edge semantic failure
snail -> gastropod -> mollusc -> animal -> living_creature | edge semantic failure
snail -> gastropod -> mollusc -> animal -> organism | edge semantic failure
snail -> gastropod -> mollusc -> animal -> living_creature | edge semantic failure
apple -> accessory_fruit -> fruit | semantic abstraction jump
'84_water' | structural violation
holiday -> day -> calendar_day | semantic abstraction jump
'nero_wolfe\'s_right_hand_man' | structural violation
proof -> argument -> evidence | semantic abstraction jump
'asperger\'s_syndrome' -> mental_disorder -> disorder | semantic abstraction jump
autism_spectrum_disorder | structural violation
autistic_spectrum_disorder | structural violation
dermatophyte | structural violation
heart -> courage -> spirit | edge semantic failure
heart -> courage -> spirit -> character | edge semantic failure
'98_carbon_dioxide' | structural violation
'parent\'s_sister' | structural violation
'parent\'s_sisters' | structural violation
australian_radio_serial | structural violation
salinity | structural violation
in_medical_and_health_sciences | structural violation
land_to_low_water_mark | structural violation
'72_years' | structural violation
'8_hours_day' | structural violation
'30_months' | structural violation
'18.5_miles_per_second' | structural violation
'8.1_miles_per_second' | structural violation
'15_miles_per_second' | structural violation
'29.8_miles_per_second' | structural violation
'3.4_miles_per_second' | structural violation
'2.9_miles_per_second' | structural violation
'6_miles_per_second' | structural violation
'4.2_miles_per_second' | structural violation
'21.8_miles_per_second' | structural violation
'bachelor\'s_degree' -> higher_education_degree -> degree | semantic abstraction jump
'1000_watt_fresnel_lighting_instrument' | structural violation
bachelor_of_divinity -> 'bachelor\'s_degree' -> higher_education_degree -> degree | semantic abstraction jump
bachelor_of_medicine -> 'bachelor\'s_degree' -> higher_education_degree -> degree | semantic abstraction jump
bachelor_of_music -> 'bachelor\'s_degree' -> higher_education_degree -> degree | semantic abstraction jump
bachelor_of_science -> 'bachelor\'s_degree' -> higher_education_degree -> degree | semantic abstraction jump
shore_bird -> bird -> eagle -> bird_of_prey | semantic abstraction jump
shore_bird -> bird -> eagle -> large_bird_of_prey | edge semantic failure
shore_bird -> bird -> eagle -> large_bird_of_prey | edge semantic failure
'baker\'s_eczema' -> allergic_eczema -> eczema | semantic abstraction jump
yeast -> true_fungus -> fungus | semantic abstraction jump
'musician\'s_rehearsal' | structural violation
blood_disease -> blood_dyscrasia -> bloodstream_morbidity | edge semantic failure
blood_disease -> blood_dyscrasia -> illness | edge semantic failure
blood_disease -> blood_dyscrasia -> illness -> medical_condition | edge semantic failure
blood_disease -> blood_dyscrasia -> bloodstream_morbidity -> illness | edge semantic failure
blood_disease -> blood_dyscrasia -> bloodstream_morbidity -> illness -> medical_condition | edge semantic failure
bar_mask -> 'catcher\'s_mask' -> face_mask | semantic abstraction jump
bar_mask -> 'catcher\'s_mask' -> face_mask -> mask | semantic abstraction jump
bar_mask -> 'catcher\'s_mask' -> face_mask -> mask -> disguise | semantic abstraction jump
'catcher\'s_mask' -> face_mask -> mask | semantic abstraction jump
'cut_people\'s_hair' | structural violation
star -> sun -> bright_star | semantic abstraction jump
star -> sun -> g_class_dwarf_star | edge semantic failure
star -> sun -> g_class_star | edge semantic failure
star -> sun -> medium_sized_yellow_star | edge semantic failure
star -> sun -> ordinary_star | edge semantic failure
star -> sun -> star_not_planet | semantic abstraction jump
star -> sun -> yellow_star | semantic abstraction jump
star -> sun -> yellow_star | semantic abstraction jump
star -> sun -> star_not_planet | semantic abstraction jump
star -> sun -> ordinary_star | edge semantic failure
star -> sun -> medium_sized_yellow_star | edge semantic failure
star -> sun -> g_class_star | edge semantic failure
star -> sun -> g_class_dwarf_star | edge semantic failure
star -> sun -> bright_star | semantic abstraction jump
'bartholin\'s_gland' -> vestibular_gland -> exocrine_gland -> gland | semantic abstraction jump
vestibular_gland -> exocrine_gland -> gland | semantic abstraction jump
baseball -> sport -> game -> activity | edge semantic failure
baseball -> sport -> athlete -> athlete_or_sports_team | semantic abstraction jump
